kategori,Kelompok Umur,protein,Lemak,Karbohidrat,Serat,protein
1,1 – 3 tahun,20,45,215,19,
2,4 – 6 tahun,25,50,220,20,
3,7 – 9 tahun,40,55,250,23,
4,10 – 12 tahun,50,65,300,28,
5,13 – 15 tahun,70,80,350,34,
6,16 – 18 tahun,75,85,400,37,
7,19 – 29 tahun,65,75,430,37,
8,30 – 49 tahun,65,70,415,36,
9,50 – 64 tahun,65,60,340,30,
10,65 – 80 tahun,64,50,275,25,
11,80+ tahun,64,45,235,22,
12,10 – 12 tahun,55,65,280,27,
13,13 – 15 tahun,65,70,300,29,
14,16 – 18 tahun,65,70,300,29,
15,19 – 29 tahun,60,65,360,32,
16,30 – 49 tahun,60,60,340,30,
17,50 – 64 tahun,60,50,280,25,
18,65 – 80 tahun,58,45,230,22,
19,80+ tahun,58,40,200,20,
,,75,85,430,37,
,,25,28.33333333,143.3333333,12.33333333,
